,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,-422.6327,120.61891,-53.498188,19.140442,-20.235123,0.16465572,-17.021818,-5.139596,-10.12235,-11.413214,-9.049864,-11.781267,-6.562692,-12.95685,-4.7986574,-11.048373,-6.4379845,-11.517739,-9.767615,-7.7151723,-11.945027,-7.0898323,-8.311058,-6.1869984,-7.9095535,-4.5401077,-6.0885377,-4.717355,-2.5786512,-5.100232,-3.060556,-4.3869605,-3.2494452,-3.0625637,-3.3974419,-3.2427847,-2.9118755,-3.43412,-2.021358,-2.4019794
11,-444.13342,124.943825,-57.5976,23.206589,-22.277702,3.8874881,-18.490004,-4.00069,-10.94033,-9.939194,-9.605596,-12.892115,-5.51498,-12.017933,-3.7937486,-10.85251,-6.2986364,-11.236624,-7.7674336,-7.8135457,-10.888483,-6.6390743,-7.7238617,-5.712013,-8.229483,-4.1764407,-7.7179027,-6.256775,-4.746879,-6.2042303,-2.7524312,-3.6178668,-3.3262694,-4.3272943,-3.815947,-4.2606277,-1.7310333,-2.6276703,-2.228179,-2.4910073
12,-464.9967,131.8475,-63.72819,28.263245,-26.160265,6.1147375,-23.18726,0.5623094,-11.412543,-8.300708,-7.7858696,-12.619865,-4.842437,-15.0825205,-2.0031042,-11.201825,-7.811956,-10.794144,-7.2130804,-8.273676,-11.520132,-6.6972904,-8.601719,-5.83476,-10.055045,-5.7953973,-7.5924625,-6.9072113,-3.2259123,-4.99682,-2.5210543,-4.396511,-4.086512,-4.932393,-3.3186913,-3.727925,-2.2800064,-3.3620112,-3.126253,-1.6011579
13,-447.72104,128.96544,-63.673233,25.668344,-26.833519,6.566066,-18.25817,-1.5928352,-11.629237,-9.705584,-8.885079,-13.644705,-7.521092,-14.164941,-3.6356459,-12.207565,-7.7790737,-13.289324,-8.273687,-8.257254,-12.030091,-6.6514564,-9.504314,-5.921367,-9.153487,-5.162733,-4.1079006,-4.1333275,-2.5028646,-4.1312084,-3.0700362,-3.3597856,-2.11544,-4.154294,-3.896637,-3.6033695,-1.3650103,-1.7297044,-1.4745082,-2.3207266
14,-378.12955,101.487305,-44.101284,14.064248,-22.403498,0.14141876,-10.139374,-8.712211,-4.261301,-14.60167,-7.711482,-12.237313,-8.033505,-11.274655,-10.876401,-6.2285943,-7.563583,-10.473102,-6.2693157,-8.444742,-10.031646,-3.7559547,-5.5447454,-3.522799,-5.673822,-7.808098,-7.424027,-6.448088,-5.214866,-6.527019,-2.5085914,-2.8674603,-1.9361846,-1.3243021,-3.7303238,-3.2548618,-3.3764513,-1.9357882,-1.213296,-1.5452797
15,-442.22458,129.95177,-57.66137,23.202188,-22.884256,6.2711473,-14.976376,-4.2412434,-9.289466,-9.775229,-8.594958,-13.726076,-7.0570245,-15.023362,-4.1894245,-13.120951,-6.82941,-10.173251,-8.963757,-7.082449,-11.947516,-7.77878,-9.490825,-6.6826158,-9.798942,-6.0949683,-6.5369873,-6.540212,-5.616287,-6.198212,-4.6557965,-4.3769617,-4.403668,-5.6407084,-4.201201,-4.409346,-4.2702885,-4.5334473,-1.4082733,-0.12054162
16,-443.5647,129.15921,-61.627953,23.711514,-26.942272,8.628004,-15.04243,-6.1427574,-10.147783,-9.629978,-8.720765,-12.812781,-8.248888,-13.354529,-2.7784321,-13.021609,-5.5419497,-10.229682,-8.973687,-7.451204,-10.775815,-6.4638042,-8.014933,-6.824354,-10.720172,-6.2279615,-4.900119,-3.2662504,-3.0672815,-4.0996203,-4.0620723,-2.671176,-1.0786935,-3.9442637,-1.3822204,-2.0276532,-3.0186095,-2.9464495,-1.8782951,-2.084922
17,-425.94583,123.11333,-52.413063,25.086605,-21.836758,8.022815,-17.718376,-3.7838387,-5.83736,-9.160089,-5.912546,-11.357169,-6.7884116,-9.298696,-3.2519479,-13.144602,-5.745829,-10.91412,-9.799829,-6.4839983,-8.807536,-3.6587994,-2.467949,0.73930746,-2.6972694,-2.0316994,-4.73815,-4.38129,-5.365191,-4.039045,-2.065656,-3.6801972,-0.88346916,-4.00194,-3.065761,-2.002972,-1.9570515,-2.6093712,-0.33388966,-0.6426717
18,-414.99512,119.74391,-51.856213,20.430502,-23.453856,4.26758,-12.076313,-7.660788,-7.2345285,-8.764098,-9.395248,-12.627468,-10.164384,-12.153927,-4.6187577,-13.141708,-6.2529144,-10.025122,-10.355529,-8.228171,-12.532679,-8.66692,-8.840424,-6.284977,-9.516653,-6.2751927,-4.785423,-5.632494,-3.9167438,-4.3442025,-4.0586543,-4.693931,-3.3309863,-5.4570603,-4.509142,-4.9598136,-5.0882525,-3.7567213,-1.229055,-1.4182328
19,-420.45105,120.675896,-54.57891,21.931707,-22.31903,0.32887104,-16.4815,-10.187734,-8.03715,-11.232666,-6.979594,-10.144421,-9.244188,-10.499169,-4.5932755,-14.369871,-7.70354,-11.9507065,-11.626952,-9.298721,-14.003048,-7.693259,-7.214232,-4.640094,-6.2769,-4.470261,-3.7904997,-4.9718328,-4.1927404,-4.4900556,-4.829643,-5.605309,-5.0305862,-5.376333,-3.4905698,-3.1657426,-2.7619526,-3.0611393,-1.1527008,-1.676705
